"","RecommendData$BrandModel","Price 0-5000","Price 5000-10000","Price 10000-15000","Price 15000-20000","Price 20000-25000","Price 25000-30000","Price 30000-35000","Price 35000+","25 - 50 bph","50 - 75 bph","75 - 100 bph","100 - 125 bph","125 - 150 bph","150 - 175 bph","175 - 200 bph","CarTypeConvertible","CarTypeCoupe","CarTypeEstate","CarTypeHatchback","CarTypeMPV","CarTypeOthers","CarTypeSaloon","CarTypeSUV","TransmissionAutomatic","TransmissionManual","FuelTypeDiesel","FuelTypeElectric.Hybird","FuelTypePetrol","DrivetrainFour.Wheel.Drive","DrivetrainFront.Wheel.Drive","DrivetrainRear.Wheel.Drive"
"1",NA,"0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0"
"2","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"3","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"4","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"5","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"6","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"7","BMW 1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"8","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"9","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"10","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"11","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"12","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"13","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"14","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"15","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"16","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"17","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"18","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"19","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"20","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"21","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"22","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"23","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"24","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"25","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"26","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1"
"27","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"28","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"29","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1"
"30","BMW 1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1"
