"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"1","ac","conditioning","navigation","parking senser","parking","power steering","steering","reverse camera","camera","TCS","traction","pressure","cruisecontrol","cruise","horsepower","convertible","coupe","estate","hatchback","mpv","saloon","suv","automatic","manual","diesel","petrol","electric","four","front","rear","1","2","3","4","5","6","7","8","9","10","ShownCar"
"2","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Citroen C1","BMW 4","Jaguar F-Type","Mazda MX-5","Mercedes-Benz SLC","Vauxhall Viva","Volkswagen 1.0","1"
"3","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","Citroen C1","BMW 4","Jaguar F-Type","Mazda MX-5","Mercedes-Benz SLC","Vauxhall Viva","Volkswagen 1.0","1"
"4","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Peugeot 108","Toyota Aygo","Citroen C1","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen UP",NA,NA,"1"
"5","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Peugeot 108","Toyota Aygo","Citroen C1","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen UP",NA,NA,"2"
"6","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Peugeot 108","Toyota Aygo","Citroen C1","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen UP",NA,NA,"1"
"7","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Peugeot 108","Toyota Aygo","Citroen C1","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen UP",NA,NA,"1"
"8","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Skoda Citigo","Toyota Aygo","Peugeot 108","Citroen C1","Mazda MX-5","BMW 2","Mercedes-Benz SLC","Volkswagen 1.0","Volkswagen Polo","Volkswagen UP","1"
"9","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","BMW 4","Mazda MX-5","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen Polo",NA,"1"
"10","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","BMW 4","Mazda MX-5","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen Polo",NA,"1"
"11","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","BMW 4","Mazda MX-5","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen Polo",NA,"1"
"12","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","BMW 4","Mazda MX-5","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen Polo",NA,"1"
"13","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","Toyota Aygo","Peugeot 108","Skoda Citigo","BMW 4","Mazda MX-5","Mercedes-Benz SL","Vauxhall Viva","Volkswagen 1.0","Volkswagen Polo",NA,"1"
"14","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","KIA Picanto","Audi S3","Skoda Superb","Mercedes-Benz A","BMW 1","Volkswagen Golf","Citroen C3","Ford Fiesta","Hyundai i10","Mercedes-Benz A-Class","1"
"15","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","KIA Picanto","Audi S3","Skoda Superb","Mercedes-Benz A","BMW 1","Volkswagen Golf","Citroen C3","Ford Fiesta","Hyundai i10","Mercedes-Benz A-Class","1"
"16","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","200","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","KIA Picanto","Audi S3","Skoda Superb","Mercedes-Benz A","BMW 1","Volkswagen Golf","Citroen C3","Ford Fiesta","Hyundai i10","Mercedes-Benz A-Class","1"
