"VariableMatch" "Lower" "Estimate" "Upper"
"1" "Woonoppervlakte" 1773 1801 1829
"2" "Perceeloppervlakte" 14 14 14
"3" "2-onder-1-kapwoning" 833279 1030787 1228295
"4" "Bungalow" 864368 1061951 1259534
"5" "Eengezinswoning, hoekwoning" 800321 997834 1195347
"6" "Eengezinswoning, tussenwoning" 784298 981766 1179234
"7" "Eengezinswoning, vrijstaande woning" 856775 1054279 1251783
"8" "Herenhuis" 837170 1034712 1232254
"9" "Landhuis" 995234 1193125 1391016
"10" "Stacaravan, vrijstaande woning" 452233 893314 1334395
"11" "Villa" 956821 1154463 1352105
"12" "Woonboerderij" 809811 1007573 1205335
"13" "Woonboot" 694092 895748 1097404
"14" "VolledigIsolatieyes" 30050 34615 39180
"15" "Aantal badkamers" 70099 74144 78189
"16" "Aantal woonlagen" -3471 0 3471
"17" "Geen Parkeerplaats" 24592 42874 61156
"18" "Openbaar parkeren" 9385 27593 45801
"19" "Parkeergarage" 9288 65838 122388
"20" "Parkeervergunningen" -22385 0 22385
"21" "Aan rustige weg" -12852 0 12852
"22" "Aan rustige weg en beschutte ligging" -21974 0 21974
"23" "Aan rustige weg en open ligging" -125637 -72051 -18465
"24" "Aan rustige weg, beschutte ligging en open ligging" -427701 0 427701
"25" "Beschutte ligging" -29284 0 29284
"26" "Beschutte ligging en open ligging" -449018 -234086 -19154
"27" "Bosrand" 41076 61012 80948
"28" "Bosrijke omgeving" 48523 60319 72115
"29" "Buiten bebouwde kom" -35873 -19862 -3851
"30" "Centrum" -9494 0 9494
"31" "Drukke weg" -19667 0 19667
"32" "Landelijk" 3933 15934 27935
"33" "Open ligging" -40960 0 40960
"34" "Andere Ligging" -26841 0 26841
"35" "Park" -30876 0 30876
"36" "Water" 60123 73925 87727
"37" "Woonwijk" -16456 -9109 -1762
"38" "Andere tuin" -75116 0 75116
"39" "Patio/atrium" -75498 -52328 -29158
"40" "Plaats" -58739 -31704 -4669
"41" "Tuin rondom" 39406 45028 50650
"42" "Voortuin" -28496 -15964 -3432
"43" "Zijtuin" -62081 -35425 -8769
"44" "Zonneterras" -90672 -68112 -45552
"45" "Zonneterras en plaats" -397205 0 397205
"46" "1012" -837951 -539044 -240137
"47" "1013" -1115010 -775957 -436904
"48" "1015" -231561 0 231561
"49" "1016" 666141 911305 1156469
"50" "1017" 846737 1123532 1400327
"51" "1018" -338631 0 338631
"52" "1019" -728640 -430304 -131968
"53" "1022" -1259109 -960220 -661331
"54" "1023" -1379587 -942704 -505821
"55" "1024" -1224028 -947176 -670324
"56" "1025" -1130615 -898687 -666759
"57" "1026" -811268 -558392 -305516
"58" "1027" -1098608 -661600 -224592
"59" "1028" -944302 -681469 -418636
"60" "1032" -1331123 -894289 -457455
"61" "1033" -1136095 -883546 -630997
"62" "1034" -1041910 -789234 -536558
"63" "1035" -1179608 -960353 -741098
"64" "1036" -1240590 -941690 -642790
"65" "1037" -1043778 -702260 -360742
"66" "1056" -989964 -650835 -311706
"67" "1057" -1164573 -727708 -290843
"68" "1060" -1175830 -944020 -712210
"69" "1063" -1242947 -944104 -645261
"70" "1064" -1217505 -954807 -692109
"71" "1065" -1227746 -928622 -629498
"72" "1066" -1117903 -899963 -682023
"73" "1067" -1259471 -1036933 -814395
"74" "1068" -1228397 -965661 -702925
"75" "1069" -1134035 -902361 -670687
"76" "1071" 2139148 2367872 2596596
"77" "1072" -437026 0 437026
"78" "1073" 234272 672334 1110396
"79" "1074" -805696 -466904 -128112
"80" "1076" -1060433 -623488 -186543
"81" "1077" 632612 878065 1123518
