Nnumber;Destination;lon;lat
1;ABE;-79.9906116;40.4287547
2;ABI;-118.2017955;34.0010242
3;ABQ;-106.6055534;35.0853336
4;ABY;-76.6412712;39.0457549
5;ACK;-118.089399;34.097014
6;ACT;-80.6467482;28.0860958
7;ACV;-73.92861;40.712177
8;ACY;-90.820278;30.218611
9;ADK;-73.8693043;44.1247154
10;ADQ;-152.51473;57.7543782
11;AEX;-121.9492107;37.3822325
12;AGS;-80.3838771;25.8080936
13;AKN;-73.9888568;40.7472249
14;ALB;-106.6055534;35.0853336
15;ALO;-82.5598173;36.2636682
16;AMA;-90.2964674;29.9521491
17;ANC;-73.9826824;40.7523109
18;ASE;-71.1345702;42.5063972
19;ATL;-84.3879824;33.7489954
20;ATW;-88.5183651;44.2590686
21;AUS;-77.0369614;38.9079996
22;AVL;-121.816637;39.7150945
23;AVP;-93.144527;44.946512
24;AZO;-89.920393;35.026981
25;BDL;-72.6860314;41.9388735
26;BET;-96.7061735;33.0181572
27;BFL;-86.1557517;39.7682615
28;BGM;-79.4244669;34.170272
29;BGR;-68.823274;44.8069263
30;BHM;-86.80249;33.5206608
31;BIL;12.5714099;56.9281886
32;BIS;-121.892948;37.334551
33;BJI;-94.9329041;47.5092442
34;BLI;-122.5363851;48.7941603
35;BMI;-84.376373;39.2535
36;BNA;-86.6773713;36.126317
37;BOI;-73.9745822;40.7553876
38;BOS;-71.0095602;42.3656132
39;BPT;-82.4023765;28.0649978
40;BQK;-81.4662191;31.2580344
41;BQN;-67.140976;18.443268
42;BRO;-89.8011628;35.2159858
43;BRW;-92.1553484;39.1708928
44;BTM;-82.4834784;42.8784112
45;BTR;-91.151461;30.5323599
46;BTV;-73.1516037;44.4706939
47;BUF;-78.8783689;42.8864468
48;BUR;-122.2843099;38.3225721
49;BWI;-76.6683922;39.1774042
50;BZN;-111.1532862;45.7771988
51;CAE;-78.7811169;35.79154
52;CAK;-71.408915;43.024936
53;CDC;-84.328008;33.7993178
54;CDV;-145.4757287;60.4934354
55;CEC;-98.2324692;29.3638952
56;CHA;-90.3582559;38.7319665
57;CHO;-119.195567;45.7423537
58;CHS;NA;NA
59;CIC;-80.366238;25.8765079
60;CID;-77.3887089;38.5090555
61;CLD;-73.456788;40.8714873
62;CLE;-81.8479925;41.4124339
63;CLL;-122.7231642;38.3560697
64;CLT;-80.9473146;35.2144026
65;CMH;-82.8871767;39.9999399
66;CMI;-71.106917;42.349337
67;CMX;-80.1931295;25.7671763
68;COD;-70.2962408;41.6687897
69;COS;-74.0004869;40.7239954
70;CPR;-87.5595273;33.1854537
71;CRP;-80.848732;35.6010494
72;CRW;-83.8381874;42.5673795
73;CSG;-87.6287366;41.8803828
74;CVG;-84.6630165;39.0532746
75;CWA;-121.517486;38.619316
76;DAB;-122.8616993;42.3139198
77;DAL;-116.936424;32.556285
78;DAY;-97.7023716;45.4167482
79;DBQ;-90.7056061;42.3970919
80;DCA;-77.0402315;38.851242
81;DEN;-90.3744858;38.5086845
82;DFW;-97.0403352;32.8998091
83;DHN;-85.4524326;31.3216557
84;DLG;-117.8638034;34.0948348
85;DLH;-73.4204612;41.0841272
86;DRO;-73.9613201;40.8090069
87;DSM;-74.4283789;40.8737529
88;DTW;-83.3553842;42.2161722
89;EGE;-80.9022758;28.9888754
90;EKO;-119.195567;45.7423537
91;ELM;-87.9352985;42.1808402
92;ELP;-74.0091604;40.7050758
93;ERI;-80.085059;42.1292241
94;EUG;-123.0867536;44.0520691
95;EVV;-87.5271754;38.0433641
96;EWN;-77.0427951;35.0743313
97;EWR;-74.1744624;40.6895314
98;EYW;-81.7583293;24.5556474
99;FAI;-147.8635168;64.8164163
100;FAR;-74.6357148;40.684268
101;FAT;-104.9427669;39.6848893
102;FAY;-98.6578597;35.8133797
103;FCA;-83.2338104;42.6545481
104;FLG;-92.3943249;35.8192429
105;FLL;-80.1506022;26.0742344
106;FLO;-95.9130148;31.4182329
107;FNT;-83.7388942;42.973423
108;FSD;-96.8174627;32.9224753
109;FSM;-94.3668408;35.3360061
110;FWA;-78.8999629;35.9112691
111;GCC;-104.9326052;39.7054674
112;GEG;-117.534812;47.6217478
113;GFK;-74.0155768;40.7105789
114;GGG;-81.5921572;28.3296716
115;GJT;-108.5323765;39.1229004
116;GNV;-82.267937;29.6946839
117;GPT;-105.1056138;39.7875586
118;GRB;-95.3578364;29.7521422
119;GRK;-85.5248434;42.8846633
120;GRR;-85.5248434;42.8846633
121;GSO;-83.4952133;31.4270931
122;GSP;-74.8012;39.993
123;GST;-135.7030421;58.422469
124;GTF;-111.3566299;47.4825016
125;GTR;-118.0144689;33.8422695
126;GUC;-77.305984;35.607731
127;HDN;-107.2166138;40.4814042
128;HHH;-81.5921572;28.3301248
129;HLN;-111.989929;46.6100257
130;HNL;-157.9250736;21.3245132
131;HOU;-95.3698028;29.7604267
132;HPN;-73.7086641;41.0683325
133;HRL;-118.6958373;34.0428427
134;HSV;-84.328008;33.7993178
135;HTS;-80.0720718;26.4522102
136;IAD;-77.4565388;38.9531162
137;IAH;-95.3367827;29.9902199
138;ICT;-83.149918;42.5607773
139;IDA;-83.5735724;41.9109708
140;ILM;-96.7744917;32.8415263
141;IND;-86.1349019;40.2671941
142;INL;-112.0458363;43.5195197
143;IPL;-94.363244;38.887324
144;ISP;-88.2787146;39.9063444
145;ITH;-88.2918641;42.3080388
146;ITO;-157.8879723;21.3235902
147;IYK;NA;NA
148;JAC;-111.7944903;33.2956671
149;JAN;-72.7888461;40.9139166
150;JAX;-81.655651;30.3321838
151;JFK;-73.7781391;40.6413111
152;JNU;-134.5831791;58.3579806
153;KOA;-84.773968;45.85445
154;KTN;-82.2467857;41.3997655
155;LAN;-87.941621;41.8441018
156;LAS;-86.79752;33.321772
157;LAW;-118.5895926;34.1668604
158;LAX;-76.644867;39.521322
159;LBB;-95.5559842;29.7371273
160;LCH;-118.3540501;33.897978
161;LEX;-97.3887026;27.8150729
162;LFT;-91.9894188;30.205482
163;LGA;-73.8739659;40.7769271
164;LGB;-73.6817821;43.3391938
165;LIH;-74.0446377;40.8706213
166;LIT;-87.6370993;41.879025
167;LMT;-87.8886201;42.3400568
168;LNK;-73.2484485;40.8133252
169;LRD;-99.4803241;27.5305671
170;LSE;-91.2635471;43.8753299
171;LWB;-80.404748;37.856284
172;LWS;-84.3723174;33.8092228
173;LYH;-79.2014019;37.3260919
174;MAF;-95.712891;37.09024
175;MBS;-86.63163;33.581834
176;MCI;-88.07868;30.695211
177;MCN;-83.3721775;40.2511589
178;MCO;-97.823793;30.2806438
179;MDT;-82.492322;28.15234
180;MDW;-87.7521884;41.7867759
181;MEI;-81.303787;28.698654
182;MEM;-90.2235951;30.0053912
183;MFE;-98.2400204;26.1809819
184;MFR;-122.9245043;45.5004007
185;MGM;-118.4002777;34.0678325
186;MHT;-84.5639205;33.3606301
187;MIA;-84.1297276;44.6522362
188;MKE;-87.9064736;43.0389025
189;MKG;-73.9930577;40.6932349
190;MLB;-73.9745087;40.7545475
191;MLI;-90.5082706;41.4496341
192;MLU;-92.0436229;32.5102311
193;MOB;-119.0197232;35.3841814
194;MOD;-82.8792406;42.6227754
195;MOT;-81.3148665;29.8632532
196;MQT;-87.3955954;46.5475825
197;MRY;-121.8491091;36.588269
198;MSN;-88.1747718;30.7003139
199;MSO;-114.0915399;46.9188149
200;MSP;-95.712891;37.09024
201;MSY;-90.2590112;29.9922012
202;MTJ;-107.89635;38.5026155
203;MYR;-78.9278943;33.6822019
204;OAJ;-77.6122497;34.8283932
205;OAK;-73.9813452;40.7551233
206;OGG;-156.4329379;20.8967924
207;OKC;-97.5164276;35.4675602
208;OMA;-81.4260238;41.3077672
209;OME;-82.938885;39.9338939
210;ONT;-117.6508876;34.0633443
211;ORD;-87.9073214;41.9741625
212;ORF;-122.6599014;45.5289329
213;OTH;-90.9048785;40.611618
214;OTZ;-118.2547171;34.0486546
215;OXR;-119.2065106;34.1985056
216;PBI;-80.0928165;26.6857475
217;PDX;-122.6764816;45.5230622
218;PFN;-85.7937967;30.3578241
219;PHF;-76.492778;37.131667
220;PHL;-75.2424229;39.8743959
221;PHX;-112.0740373;33.4483771
222;PIA;-73.437946;41.4266017
223;PIH;-118.0489767;33.9694571
224;PIR;-75.3199013;40.7267638
225;PIT;-123.1226549;44.0480087
226;PLN;-71.4469963;41.7328793
227;PMD;-74.410592;40.905013
228;PNS;-87.1867049;30.4738158
229;PSC;-122.2003158;47.6472927
230;PSE;-85.4354656;41.8104794
231;PSG;-87.9902485;41.8483349
232;PSP;-116.5070468;33.8303194
233;PUB;-97.7435433;30.2953826
234;PVD;-71.4304062;41.7245271
235;PWM;-95.4267528;29.9890488
236;RAP;-121.9665066;37.4077118
237;RDD;-118.1741565;34.0048165
238;RDM;-75.0671606;39.8930012
239;RDU;-78.7879963;35.880079
240;RFD;-94.1798991;30.1364401
241;RHI;-87.5080379;41.5452993
242;RIC;-94.2223283;45.7529003
243;RKS;-118.8475388;34.168656
244;RNO;-119.7680951;39.4995907
245;ROA;-122.02068;37.398004
246;ROC;-71.5295714;43.2079385
247;ROW;-89.5437499;34.3633076
248;RST;-81.6827327;30.3131068
249;RSW;-81.7553083;26.5337051
250;SAN;-122.4194155;37.7749295
251;SAT;-75.3518747;40.0838537
252;SAV;-73.9821073;40.7453718
253;SBA;-86.8473685;33.4332809
254;SBN;-86.3160127;41.7070089
255;SBP;-90.083112;29.969318
256;SCC;-87.9995119;42.0493405
257;SCE;-117.8109794;34.0520727
258;SDF;-85.7369231;38.175662
259;SEA;-80.3720415;25.7923985
260;SFO;-122.4194155;37.7749295
261;SGF;-122.4194155;37.7749295
262;SGU;-73.9930117;40.7533532
263;SHV;-93.8287346;32.4459249
264;SIT;-72.5659205;42.8860292
265;SJC;-121.9289375;37.3639472
266;SJT;-89.7246338;40.5788492
267;SJU;-75.2416405;39.9946832
268;SLC;-111.8910474;40.7607793
269;SLE;-106.3191161;31.6725891
270;SMF;-121.5900648;38.6950854
271;SMX;-80.1917842;25.7639791
272;SNA;-117.8674759;33.6761901
273;SPI;-97.1681257;26.1118401
274;SPS;-77.668966;43.0184561
275;SRQ;-82.5545239;27.3955284
276;STL;-90.1994042;38.6270025
